trial,room,treatment,bucket,plant,rootweight,plantweight,berrynum,deadnum,flowernum,plant_status
Summer,c,Bee,6,3,,,0,0,0,blank
Summer,c,Bee,6,4,5.61,5.02,0,0,0,alive
Summer,c,Bee,6,5,5.04,4.42,0,0,0,alive
Summer,c,Bee,6,6,9.73,7.27,0,0,0,alive
Summer,c,Bee,6,7,,,0,0,0,blank
Summer,c,Bee,6,8,9.92,4.28,0,0,0,alive
Summer,c,Bee,6,9,,,0,0,0,blank
Summer,c,Bee,6,10,11.25,7.99,0,0,0,alive
Summer,c,Bee,6,11,7.6,3.46,0,0,0,alive
Summer,c,Bee,6,12,3.19,1.33,0,0,0,dead
Summer,c,Bee,6,13,5.38,1.61,0,0,0,dead
Summer,c,Bee,6,14,5.73,1.47,0,0,0,dead
Summer,c,Bee,6,15,8.12,7,0,0,0,alive
Summer,c,Bee,6,16,10.45,6.04,0,0,0,alive
Summer,c,Bee,6,17,,,0,0,0,blank
Summer,c,Bee,6,18,11.48,5.22,0,0,0,alive
Summer,c,Bee,6,19,,,0,0,0,blank
Summer,c,Bee,6,20,,,0,0,0,blank
