Number,Trial,Treatment,Room,Bucket,Plant,DryRootWeightBag,DryPlantWeightBag,DryRoot,DryPlant,RootShoot
170,Summer,Control,b,3,8,7.9776,6.929,0.9106,-0.138,-6.598550725
171,Summer,Control,b,3,9,7.6611,6.6217,0.5941,-0.4453,-1.334156748
172,Summer,Control,b,3,10,8.095,8.4294,1.028,1.3624,0.754550793
173,Summer,Control,b,3,11,8.6573,8.1826,1.5903,1.1156,1.425510936
174,Summer,Control,b,3,12,8.1899,8.0128,1.1229,0.9458,1.18724889
175,Summer,Control,b,3,13,8.0431,8.9501,0.9761,1.8831,0.518347406
176,Summer,Control,b,3,14,9.1942,10.7141,2.1272,3.6471,0.583257931
177,Summer,Control,b,3,15,8.2186,8.9197,1.1516,1.8527,0.621579317
178,Summer,Control,b,3,16,8.194,8.399,1.127,1.332,0.846096096
179,Summer,Control,b,3,18,8.3355,7.8968,1.2685,0.8298,1.52868161
180,Summer,Control,b,3,19,8.6908,7.4929,1.6238,0.4259,3.812632073
181,Summer,Control,b,3,20,8.0468,8.837,0.9798,1.77,0.553559322
182,Summer,Bee UV,a,2,1,8.394,8.9403,1.327,1.8733,0.708375594
183,Summer,Bee UV,a,2,2,7.2745,9.351,0.2075,2.284,0.090849387
184,Summer,Bee UV,a,2,3,7.7778,10.7373,0.7108,3.6703,0.193662643
185,Summer,Bee UV,a,2,5,7.8498,7.6598,0.7828,0.5928,1.320512821
186,Summer,Bee UV,a,2,6,7.3063,9.4882,0.2393,2.4212,0.098835288
187,Summer,Bee UV,a,2,7,7.2062,9.5921,0.1392,2.5251,0.05512653
188,Summer,Bee UV,a,2,8,6.6636,7.578,-0.4034,0.511,-0.789432485
189,Summer,Bee UV,a,2,9,9.0529,13.0199,1.9859,5.9529,0.33360211
190,Summer,Bee UV,a,2,10,7.52,7.971,0.453,0.904,0.501106195
191,Summer,Bee UV,a,2,11,7.5351,10.7966,0.4681,3.7296,0.125509438
192,Summer,Bee UV,a,2,12,7.6108,9.4597,0.5438,2.3927,0.227274627
193,Summer,Bee UV,a,2,13,6.9316,6.9088,-0.1354,-0.1582,0.855878635
194,Summer,Bee UV,a,2,14,6.8647,7.2041,-0.2023,0.1371,-1.475565281
195,Summer,Bee UV,a,2,15,7.254,9.4339,0.187,2.3669,0.079006295
196,Summer,Bee UV,a,2,16,7.5918,8.7648,0.5248,1.6978,0.309105902
197,Summer,Bee UV,a,1,3,8.325,8.241,1.258,1.174,1.071550256
198,Summer,Bee UV,a,1,4,8.167,7.438,1.1,0.371,2.964959569
199,Summer,Bee UV,a,1,5,8.3101,8.493,1.2431,1.426,0.87173913
